"id","code","name_gr","boundary"
1,Γ28,Αγ. Αικατερινη,"POLYGON ((21.745596129869686 38.23721117952496, 21.73990216899089 38.23711987293768, 21.7369241237805 38.237038337335825, 21.736908681646415 38.23710180187581, 21.737673800575273 38.238016563907316, 21.73969936003189 38.2406828107747, 21.742426638070345 38.23958400260502, 21.744681825873656 38.23838167478478, 21.74529611631 38.2379206503342, 21.745596129869686 38.23721117952496))"
2,Γ26,Αγ. Γερασιμος,"POLYGON ((21.72357731662747 38.22843363901575, 21.722439747653876 38.22574516452891, 21.72117716776021 38.22464486299193, 21.72104093259814 38.22421665201408, 21.72134715338372 38.22419529129622, 21.721301234647573 38.22411338413353, 21.721105309701734 38.223287538434924, 21.718737864134493 38.22379457176271, 21.718456701658823 38.224246912432015, 21.718755599260927 38.22559694048511, 21.720763701138047 38.226485865143985, 21.721636097102444 38.22805767159287, 21.721932842979204 38.229182394182594, 21.720799276382497 38.23009059876446, 21.7208081711863 38.23099178181837, 21.722242967194504 38.2316588897688, 21.72255088440402 38.23391008774404, 21.72369565171178 38.23412834397687, 21.72429597336722 38.23705366030367, 21.725569069393693 38.23697402939213, 21.725862736362295 38.23840474230151, 21.729461780585382 38.237978229808405, 21.729046279962926 38.2356477314204, 21.729023752031708 38.23420879282228, 21.728866864167994 38.23212220881548, 21.72659878359611 38.23174996290362, 21.724549579847327 38.23188522051065, 21.72357731662747 38.22843363901575))"
3,Γ31,Αγ. Γεωργιος Λαγγουρας,"POLYGON ((21.74128743203143 38.22936630880573, 21.74141505741763 38.229647366638645, 21.743208211994588 38.231199794374135, 21.74408792268392 38.23222162125819, 21.74669512956195 38.23485730755305, 21.747561380530662 38.232786061787046, 21.74773070105037 38.232074074376456, 21.747799156824176 38.22984337703111, 21.747913734988632 38.227748841481386, 21.74776761968604 38.2260136155973, 21.747767439676604 38.226011304461025, 21.742793397455035 38.22831821680193, 21.74128743203143 38.22936630880573))"
4,Γ5,Αγ. Παντελεημων,"POLYGON ((21.758492359397476 38.27263029174546, 21.756994976972468 38.27371020511042, 21.75479048240575 38.275470414016, 21.753386911377476 38.276816153085456, 21.7531552139212 38.27701139104096, 21.751606008819913 38.2814929232039, 21.75475233930745 38.281698031705325, 21.75504982626049 38.28282265281401, 21.75590963185555 38.28304242319174, 21.76396351574232 38.28108092541802, 21.76406241464321 38.281169538381526, 21.764476643398975 38.281313981354465, 21.76675534052527 38.2800956447842, 21.765565822293734 38.27895204942704, 21.761570714000655 38.275382209521446, 21.760984377768295 38.27485807135359, 21.758492359397476 38.27263029174546))"
5,Γ18,Αγ. Σοφια,"POLYGON ((21.73908521298379 38.26281133924308, 21.74211748413234 38.261924087398505, 21.746828722724743 38.260768982638474, 21.748962229622745 38.26000013744046, 21.74862197501819 38.259522866774304, 21.748094321061146 38.25881424646089, 21.747985456790303 38.25734592440029, 21.74758404757786 38.25651951128425, 21.746584410344923 38.25599249539144, 21.746585142470455 38.25591136163745, 21.74643450484968 38.255866818786004, 21.742450318868386 38.256852867213645, 21.739228661014533 38.25769842548828, 21.73830539853078 38.25476852410696, 21.73828991347469 38.25471938157812, 21.736758358689375 38.25477547348433, 21.73764738984434 38.25792420385888, 21.735649574206054 38.25816205353374, 21.73536838823402 38.2586144323633, 21.738588863918746 38.25927644184594, 21.738759998244305 38.26017516923167, 21.73908521298379 38.26281133924308))"
6,Γ16,Αγιυα,"MULTIPOLYGON (((21.743640845960243 38.26806836422015, 21.740893497952438 38.26902937900048, 21.739206276775235 38.26931001253059, 21.739206232423907 38.26931144258903, 21.739206214275004 38.269313428217174, 21.73920619874034 38.269315108429936, 21.739205221863834 38.269422045866236, 21.739567575868612 38.27078658461454, 21.741121632395668 38.27273435576384, 21.741439196582007 38.27302656503964, 21.742575016276078 38.27404498959291, 21.743518933135686 38.2734480541845, 21.744340202499966 38.274760509511786, 21.746720514363155 38.27340370571733, 21.749408715078857 38.27198268467745, 21.752814098586576 38.27025739198174, 21.75561165121369 38.26890744851604, 21.753794684762077 38.26638224802131, 21.750638912565435 38.26619297384551, 21.749015344820133 38.26632990663554, 21.746228394217443 38.26727056280436, 21.743640845960243 38.26806836422015)), ((21.741121632395668 38.27273435576384, 21.740017892115816 38.27135099990607, 21.740091996657373 38.271511397470434, 21.740099946373387 38.27154575199603, 21.74010452469211 38.271551078184345, 21.741121632395668 38.27273435576384)))"
7,Γ53,Ακρωτηρι-Μακρυγιαννη,"POLYGON ((21.738006951243165 38.208225374276104, 21.736665956006426 38.20854369440019, 21.73624618615314 38.208161965319206, 21.73293287368884 38.209019495045425, 21.73265226150465 38.208187888422536, 21.730072655358274 38.20816069641025, 21.730011121571454 38.20807587723494, 21.72994058959735 38.2081028402366, 21.73046429415688 38.20884082477274, 21.728546856690983 38.20896739036262, 21.72777945070523 38.209412745186306, 21.72632214712229 38.20979077229669, 21.72515931429564 38.20971673823208, 21.725322453273243 38.21071136325157, 21.72485332795269 38.21078452025654, 21.72520040432519 38.21257950794488, 21.727422442901354 38.212026685608244, 21.73036674366473 38.211566436914254, 21.73445951400101 38.21101017677817, 21.7384786319131 38.21029132027297, 21.73994986862284 38.209822629732066, 21.74114670926531 38.20962862360866, 21.743214864647506 38.209090178238654, 21.74360362856567 38.2090117869965, 21.744315443651974 38.208868251217254, 21.74626720246264 38.208474657946574, 21.74637860073501 38.20845294199184, 21.74796210016564 38.20812229334993, 21.750449544931143 38.2075653135614, 21.750269503024956 38.206429353004786, 21.750049187993064 38.20560648356893, 21.748733808744255 38.205823105723354, 21.744046160262574 38.20574910635038, 21.742442281696984 38.20598560102159, 21.74251949543014 38.206439084631846, 21.74050798700114 38.20655359996553, 21.740919012648256 38.20819232550935, 21.73820429404224 38.20862639520695, 21.738006951243165 38.208225374276104))"
8,Γ3,Ανατολικη Παρ. Προαστιου,"POLYGON ((21.756195455759425 38.28304058125592, 21.760222835275478 38.28549292962015, 21.76282834622979 38.28863031188388, 21.762837779420952 38.2895314773431, 21.7682499036178 38.28769370699395, 21.768620236780784 38.28795618028684, 21.769665334389163 38.287586584510095, 21.773863079756808 38.286822442471454, 21.772593715289435 38.285666330646755, 21.772392790909546 38.28547746721729, 21.77132721294237 38.28450196436986, 21.769748126549835 38.28289077471111, 21.768009263496765 38.28130110856337, 21.76675534052527 38.2800956447842, 21.764476643398975 38.281313981354465, 21.766270593613918 38.28374326366803, 21.76755748887148 38.28609084599872, 21.76735139848691 38.28617629988814, 21.767796686021644 38.28678520272458, 21.763372523389865 38.28874724024192, 21.76254722965805 38.28776847587395, 21.761506908806425 38.28698437973708, 21.75991850371814 38.285022489134064, 21.758862614336255 38.28421719277603, 21.758196666747434 38.28389681501136, 21.759074209363074 38.28355270164008, 21.75943555563656 38.28316506526927, 21.75883998862178 38.28268812334533, 21.759288626291305 38.2825592976111, 21.760362184115227 38.28267048393099, 21.761740954433307 38.28226921786226, 21.76406241464321 38.281169538381526, 21.76396351574232 38.28108092541802, 21.758760834170936 38.282348097031516, 21.756195455759425 38.28304058125592))"
9,Γ1,Ανατολικος Καστελοκαμπος,"POLYGON ((21.771809547895025 38.291816974185096, 21.77189067675506 38.291913190438464, 21.77281755982466 38.293012418298936, 21.772066807058167 38.29359847858855, 21.77172669982536 38.293782819927884, 21.77378614528914 38.29757080503823, 21.790279151595723 38.28934983035679, 21.790543002577742 38.28732029521792, 21.789106492426292 38.2866540470821, 21.788510446668415 38.2844049896081, 21.787364704482762 38.284187378054156, 21.787359837125255 38.283736797546794, 21.785359064812127 38.283750208119656, 21.772392790909546 38.28547746721729, 21.772593715289435 38.285666330646755, 21.773863079756808 38.286822442471454, 21.769665334389163 38.287586584510095, 21.768620236780784 38.28795618028684, 21.768646886709462 38.28806593800339, 21.771809547895025 38.291816974185096))"
10,Γ12,Ανθουπολη,"POLYGON ((21.758930722767918 38.26486406325816, 21.759579303172675 38.26440051998056, 21.75864381963376 38.26419286235406, 21.75757970572837 38.26448729922222, 21.75710086845705 38.26444114258368, 21.756652072269773 38.26396568021323, 21.75685348609077 38.26358338792643, 21.760246262201207 38.26254643424181, 21.760045701258164 38.26224857461338, 21.760281095746986 38.26259816639367, 21.761074022842788 38.26247692925465, 21.761340670291865 38.26222635084364, 21.761297765001835 38.26187075571839, 21.761370284151646 38.261238945959526, 21.76175241577465 38.260906406614865, 21.761839094088067 38.260830976509574, 21.761883583463412 38.2607861116567, 21.762044797046087 38.26060496746096, 21.76214420694413 38.26049326722943, 21.762237490287657 38.26066387390196, 21.76253574720379 38.26057939311217, 21.76282464583545 38.26051842074854, 21.7626921195297 38.26018170006678, 21.76262939121308 38.260036723982346, 21.7626013123395 38.25997182939901, 21.763525285187523 38.25976172025046, 21.76416240702163 38.2593643859355, 21.763583322839004 38.2590667963846, 21.76331346077935 38.25929196965575, 21.76302983952055 38.25325574238338, 21.76104164058244 38.2543951934506, 21.760177465018725 38.25372487053776, 21.76016807677691 38.2528236990073, 21.759596666254854 38.252827399083365, 21.758735391095087 38.253609955933634, 21.758939762046932 38.25382581746426, 21.75905025454503 38.2540100698468, 21.758206688585656 38.25445645411991, 21.75842183312749 38.2550228652297, 21.757886738395992 38.2553532634669, 21.757476403956087 38.25504238969087, 21.757340376119622 38.25487742140096, 21.757208587092258 38.25499715752928, 21.75667889367395 38.255575805595065, 21.756705596196717 38.257018285437155, 21.75748537408577 38.258148724911045, 21.756611111027645 38.25890106727189, 21.755754367591273 38.25852229265482, 21.75400430916507 38.2583247682941, 21.75355976533092 38.258312058870715, 21.751603991156077 38.26008868135323, 21.751744260104317 38.260222058168566, 21.752181082372033 38.26065399358273, 21.750191137603505 38.26164801743899, 21.751854445804533 38.263757601701094, 21.753794684762077 38.26638224802131, 21.75607634584373 38.2662328079961, 21.758930722767918 38.26486406325816))"
11,Γ9,Αρεθα,"POLYGON ((21.758930722767918 38.26486406325816, 21.75607634584373 38.2662328079961, 21.753794684762077 38.26638224802131, 21.75561165121369 38.26890744851604, 21.75737038763413 38.2710567842844, 21.757530302489194 38.271281060991925, 21.76236715029032 38.26918541016288, 21.76376244088592 38.2685350299439, 21.76375740836694 38.268520613087574, 21.7635215244881 38.26798343597112, 21.763113104230907 38.26705849853388, 21.763087764857907 38.26659505519067, 21.762367252081503 38.26522022529654, 21.759965426353546 38.264209328577266, 21.759579303172675 38.26440051998056, 21.758930722767918 38.26486406325816))"
12,Γ33,Αροη,"MULTIPOLYGON (((21.76276782609374 38.242437982814714, 21.762015468541158 38.242194436904875, 21.760346724992594 38.24201011614421, 21.759162952565298 38.242511674749636, 21.75821170444208 38.2424960662484, 21.757932725931987 38.24264105834506, 21.757457946892202 38.24279189547835, 21.75602941637216 38.241682997054276, 21.75536550094217 38.241461036942226, 21.7538665201229 38.240304322727305, 21.753758889475172 38.239961222973086, 21.752680896710316 38.23960546701094, 21.75129908159719 38.23982109928495, 21.749502941813322 38.23993685718432, 21.7490207657627 38.240255972368715, 21.74830142342738 38.24152601786083, 21.748457939658937 38.241596969928786, 21.747506346550594 38.24289831358601, 21.7477402969951 38.243986389003716, 21.747610852095068 38.24444355539987, 21.749132316317212 38.24503790936438, 21.750327535790326 38.245501767131785, 21.74980467592458 38.245298850480566, 21.74981322527182 38.24613106782966, 21.752414535325325 38.24904342794566, 21.757008957100425 38.251266963340036, 21.75642821711497 38.25036947521953, 21.756704568631363 38.24946646057192, 21.758128349076756 38.24900665476105, 21.759570870151776 38.250349176321976, 21.761865842260974 38.25123553219616, 21.76329433645462 38.25122624949326, 21.764430051298163 38.2505429325594, 21.76470394336192 38.249414607338316, 21.766701416942894 38.24917626615197, 21.767549010540428 38.24826949287494, 21.76925838220642 38.24780768405385, 21.769536940722777 38.247129933209465, 21.766649352217048 38.24421982468063, 21.76089207215139 38.24299884607873, 21.76106106568332 38.242817682729616, 21.761313144017066 38.242708226732404, 21.76287282764641 38.24270334646733, 21.76276782609374 38.242437982814714)), ((21.757573610924986 38.242747578008014, 21.757496660923252 38.24277483819227, 21.757457946892202 38.24279189547835, 21.75780418828068 38.24268189496185, 21.7577495218564 38.24269655719782, 21.75767677201692 38.24271414984247, 21.757573610924986 38.242747578008014)))"
13,Γ22,Αρχαιο Ωδειο,"POLYGON ((21.734279971996408 38.24278187813669, 21.733425251299145 38.243497494190905, 21.737103474732514 38.24632130849988, 21.73761280630714 38.24673166866163, 21.73980094210919 38.24502522004925, 21.740903979518784 38.24438998155653, 21.742146399580665 38.24385569080789, 21.73969936003189 38.2406828107747, 21.734279971996408 38.24278187813669))"
14,Γ47,Βιλλας Λαδοπουλου,"POLYGON ((21.724048539369864 38.22400681846894, 21.72134715338372 38.22419529129622, 21.72134715338372 38.22419529129622, 21.72104093259814 38.22421665201408, 21.72117716776021 38.22464486299193, 21.722439747653876 38.22574516452891, 21.72357731662747 38.22843363901575, 21.724549579847327 38.23188522051065, 21.72659878359611 38.23174996290362, 21.728866864167994 38.23212220881548, 21.72954088171275 38.23232105416078, 21.729328002411513 38.2306417652392, 21.728444359344795 38.22980213834868, 21.72801710777938 38.22731199733088, 21.72641033000271 38.22326299304536, 21.72539965288074 38.223703403362805, 21.725195281487675 38.22380912187503, 21.724048539369864 38.22400681846894))"
15,Γ21,Βλατερο-Τριτακι,"MULTIPOLYGON (((21.741677978821173 38.248901774837165, 21.74191102786453 38.24890237477579, 21.742132696165914 38.24879192481216, 21.742346086751283 38.248709859587336, 21.742564659492007 38.248529769451736, 21.7435247002254 38.24828977485124, 21.743310576659916 38.24811928362698, 21.743494859242205 38.24767886844169, 21.74351335535916 38.247664747924226, 21.743552119010378 38.24754202274357, 21.742777855545953 38.24690880792589, 21.74323476762103 38.2464179332764, 21.744167852153716 38.24597803363106, 21.74408010068023 38.24586805674249, 21.743509627283196 38.245820084616504, 21.741735523080816 38.245726125520214, 21.73980094210919 38.24502522004925, 21.73761280630714 38.24673166866163, 21.7376228614416 38.24673976957418, 21.7407405881508 38.249144217779794, 21.74098206310489 38.24921579787488, 21.741470385129528 38.24881818650277, 21.741614030335302 38.24894681607763, 21.741677978821173 38.248901774837165)), ((21.743235596353227 38.24728316342746, 21.743362227840446 38.24718945825889, 21.74319832412084 38.247106744986205, 21.74312413631683 38.24716669044471, 21.743070389742897 38.2471280965924, 21.742777855545953 38.24690880792589, 21.743235596353227 38.24728316342746)), ((21.743003288206506 38.2466666197492, 21.743263647353004 38.246540447669815, 21.743260987738385 38.246512657581434, 21.743248443591085 38.24646317931126, 21.74323476762103 38.2464179332764, 21.743003288206506 38.2466666197492)))"
16,Γ12,Βορεια Ανθουπολη,"POLYGON ((21.77221156352952 38.25999262369084, 21.774252904593173 38.25951946806957, 21.774070021262443 38.258766863291484, 21.77311646510502 38.25836171109518, 21.77091385388667 38.25685906336732, 21.770033180558215 38.25614313285239, 21.768771927797484 38.25648122999473, 21.766956113657546 38.25838193841382, 21.766872942438603 38.25902960431678, 21.76923798899165 38.260398075184845, 21.770428756418067 38.260295860079076, 21.77221156352952 38.25999262369084))"
